county,office,district,party,candidate,votes
Clay,South Village Community Development District,Seat 1,NOP,Charles Anderson,757
Clay,South Village Community Development District,Seat 1,NOP,Jennifer Osbeck,951
Clay,State House,11,DEM,Cornelius Jones,18392
Clay,State House,11,NA,OverVotes,7
Clay,State House,11,NA,UnderVotes,1076
Clay,State House,11,REP,Sam Garrison,51146
Clay,U.S. House,4,DEM,"LaShonda ""L.J."" Holloway",22530
Clay,U.S. House,4,NA,OverVotes,7
Clay,U.S. House,4,NA,UnderVotes,712
Clay,U.S. House,4,NA,WriteinVotes,101
Clay,U.S. House,4,REP,Aaron Bean,66983
Clay,U.S. Senate,NA,DEM,Val Demings,23054
Clay,U.S. Senate,NA,LPF,Dennis Misigoy,441
Clay,U.S. Senate,NA,NA,OverVotes,8
Clay,U.S. Senate,NA,NA,UnderVotes,242
Clay,U.S. Senate,NA,NA,WriteinVotes,38
Clay,U.S. Senate,NA,NPA,Steven B. Grant,377
Clay,U.S. Senate,NA,NPA,Tuan TQ Nguyen,201
Clay,U.S. Senate,NA,REP,Marco Rubio,65972
Collier,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NA,OverVotes,60
Collier,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NA,UnderVotes,19284
Collier,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NOP,No for Rejection,50405
Collier,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NOP,Yes for Approval,94516
Collier,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NA,OverVotes,68
Collier,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NA,UnderVotes,21076
Collier,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NOP,No for Rejection,56304
Collier,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NOP,Yes for Approval,86817
Collier,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NA,OverVotes,40
Collier,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NA,UnderVotes,15596
Collier,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NOP,No for Rejection,60516
Collier,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NOP,Yes for Approval,88113
Collier,Attorney General,NA,DEM,Aramis Ayala,44781
Collier,Attorney General,NA,NA,OverVotes,16
Collier,Attorney General,NA,NA,UnderVotes,3048
Collier,Attorney General,NA,REP,Ashley Moody,116420
Collier,Cedar Hammock Community Development District,Seat 1,NA,OverVotes,1
Collier,Cedar Hammock Community Development District,Seat 1,NA,UnderVotes,51
Collier,Cedar Hammock Community Development District,Seat 1,NOP,John Martino,243
Collier,Cedar Hammock Community Development District,Seat 1,NOP,Norman James Day,189
Collier,Cedar Hammock Community Development District,Seat 2,NA,OverVotes,1
Collier,Cedar Hammock Community Development District,Seat 2,NA,UnderVotes,58
Collier,Cedar Hammock Community Development District,Seat 2,NOP,Domiamo Passalaqua,186
Collier,Cedar Hammock Community Development District,Seat 2,NOP,Don Eliasek,239
Collier,Cedar Hammock Community Development District,Seat 3,NA,OverVotes,0
Collier,Cedar Hammock Community Development District,Seat 3,NA,UnderVotes,72
Collier,Cedar Hammock Community Development District,Seat 3,NOP,John Mertz,161
Collier,Cedar Hammock Community Development District,Seat 3,NOP,Robert Berke,251
Collier,Chief Financial Officer,NA,DEM,Adam Hattersley,44736
Collier,Chief Financial Officer,NA,NA,OverVotes,20
Collier,Chief Financial Officer,NA,NA,UnderVotes,4064
Collier,Chief Financial Officer,NA,REP,Jimmy Patronis,115445
Collier,Collier Mosquito Control District,Seat 2,NA,OverVotes,18
Collier,Collier Mosquito Control District,Seat 2,NA,UnderVotes,40628
Collier,Collier Mosquito Control District,Seat 2,NOP,Elizabeth Yiachos,30179
Collier,Collier Mosquito Control District,Seat 2,NOP,Sandra Lee Buxton,87395
Collier,Collier Mosquito Control District,Seat 3,NA,OverVotes,19
Collier,Collier Mosquito Control District,Seat 3,NA,UnderVotes,41450
Collier,Collier Mosquito Control District,Seat 3,NOP,Ed Brandt,75947
Collier,Collier Mosquito Control District,Seat 3,NOP,Emily Dalto,40804
Collier,Commissioner of Agriculture,NA,DEM,Naomi Esther Blemur,45380
Collier,Commissioner of Agriculture,NA,NA,OverVotes,9
Collier,Commissioner of Agriculture,NA,NA,UnderVotes,4498
Collier,Commissioner of Agriculture,NA,REP,Wilton Simpson,114378
Collier,County Commissioner,2,DEM,Bebe Kanter,11520
Collier,County Commissioner,2,NA,OverVotes,3
Collier,County Commissioner,2,NA,UnderVotes,1610
Collier,County Commissioner,2,REP,Chris Hall,27069
Collier,Governor,NA,DEM,Crist / Hernandez,45815
Collier,Governor,NA,LPF,Roos / Rorabaugh,214
Collier,Governor,NA,NA,OverVotes,47
Collier,Governor,NA,NA,UnderVotes,459
Collier,Governor,NA,NPA,Gimenez / Gibson,253
Collier,Governor,NA,REP,DeSantis / Nuñez,117477
Collier,Greater Naples Fire Rescue District,Seat 1,NA,OverVotes,12
Collier,Greater Naples Fire Rescue District,Seat 1,NA,UnderVotes,10770
Collier,Greater Naples Fire Rescue District,Seat 1,NOP,Charlie Cottiers,8419
Collier,Greater Naples Fire Rescue District,Seat 1,NOP,David W Boothby,8518
Collier,Greater Naples Fire Rescue District,Seat 1,NOP,Mark Cherney,11282
Collier,Greater Naples Fire Rescue District,Seat 3,NA,OverVotes,8
Collier,Greater Naples Fire Rescue District,Seat 3,NA,UnderVotes,18460
Collier,Greater Naples Fire Rescue District,Seat 3,NOP,Brian O Cross,33384
Collier,Greater Naples Fire Rescue District,Seat 3,NOP,William Douglass,18028
Collier,Greater Naples Fire Rescue District,Seat 4,NA,OverVotes,3
Collier,Greater Naples Fire Rescue District,Seat 4,NA,UnderVotes,6267
Collier,Greater Naples Fire Rescue District,Seat 4,NOP,Kevin Gerrity,10739
Collier,Greater Naples Fire Rescue District,Seat 4,NOP,Patrick Dearborn,13870
Collier,Hacienda Lakes Community Development District,Seat 4,NA,OverVotes,0
Collier,Hacienda Lakes Community Development District,Seat 4,NA,UnderVotes,191
Collier,Hacienda Lakes Community Development District,Seat 4,NOP,Jason Tomassetti,196
Collier,Hacienda Lakes Community Development District,Seat 4,NOP,Wayne J Martin,517
Collier,North Collier Fire Control and Rescue District,Seat 1,NA,OverVotes,15
Collier,North Collier Fire Control and Rescue District,Seat 1,NA,UnderVotes,16921
Collier,North Collier Fire Control and Rescue District,Seat 1,NOP,Christopher Lee Crossan,30622
Collier,North Collier Fire Control and Rescue District,Seat 1,NOP,Tony Scire,17827
Collier,North Collier Fire Control and Rescue District,Seat 2,NA,OverVotes,12
Collier,North Collier Fire Control and Rescue District,Seat 2,NA,UnderVotes,16756
Collier,North Collier Fire Control and Rescue District,Seat 2,NOP,Jim Burke,32295
Collier,North Collier Fire Control and Rescue District,Seat 2,NOP,Tyler W. Hardt,16322
Collier,Port of the Islands Community Improvement District,Seat 2,NA,OverVotes,0
Collier,Port of the Islands Community Improvement District,Seat 2,NA,UnderVotes,40
Collier,Port of the Islands Community Improvement District,Seat 2,NOP,Dan Truckey,300
Collier,Port of the Islands Community Improvement District,Seat 2,NOP,Samuel A Leishear,175
Collier,Port of the Islands Community Improvement District,Seat 4,NA,OverVotes,0
Collier,Port of the Islands Community Improvement District,Seat 4,NA,UnderVotes,31
Collier,Port of the Islands Community Improvement District,Seat 4,NOP,Steve McNamee,317
Collier,Port of the Islands Community Improvement District,Seat 4,NOP,Teri O'Connell,167
Collier,Registered Voters,NA,NA,NA,253830
Collier,Retention of Charles T. Canady,Justice of the Supreme Court,NA,OverVotes,35
Collier,Retention of Charles T. Canady,Justice of the Supreme Court,NA,UnderVotes,26861
Collier,Retention of Charles T. Canady,Justice of the Supreme Court,NOP,No,36379
Collier,Retention of Charles T. Canady,Justice of the Supreme Court,NOP,Yes,100990
Collier,Retention of Craig C. Villanti,Second District Court of Appeal,NA,OverVotes,16
Collier,Retention of Craig C. Villanti,Second District Court of Appeal,NA,UnderVotes,35345
Collier,Retention of Craig C. Villanti,Second District Court of Appeal,NOP,No,35845
Collier,Retention of Craig C. Villanti,Second District Court of Appeal,NOP,Yes,93059
Collier,Retention of Jamie Grosshans,Justice of the Supreme Court,NA,OverVotes,37
Collier,Retention of Jamie Grosshans,Justice of the Supreme Court,NA,UnderVotes,28452
Collier,Retention of Jamie Grosshans,Justice of the Supreme Court,NOP,No,35373
Collier,Retention of Jamie Grosshans,Justice of the Supreme Court,NOP,Yes,100403
Collier,Retention of John D. Couriel,Justice of the Supreme Court,NA,OverVotes,26
Collier,Retention of John D. Couriel,Justice of the Supreme Court,NA,UnderVotes,27992
Collier,Retention of John D. Couriel,Justice of the Supreme Court,NOP,No,35068
Collier,Retention of John D. Couriel,Justice of the Supreme Court,NOP,Yes,101179
Collier,Retention of John K. Stargel,Second District Court of Appeal,NA,OverVotes,23
Collier,Retention of John K. Stargel,Second District Court of Appeal,NA,UnderVotes,33215
Collier,Retention of John K. Stargel,Second District Court of Appeal,NOP,No,33817
Collier,Retention of John K. Stargel,Second District Court of Appeal,NOP,Yes,97210
Collier,Retention of Jorge Labarga,Justice of the Supreme Court,NA,OverVotes,77
Collier,Retention of Jorge Labarga,Justice of the Supreme Court,NA,UnderVotes,28841
Collier,Retention of Jorge Labarga,Justice of the Supreme Court,NOP,No,41998
Collier,Retention of Jorge Labarga,Justice of the Supreme Court,NOP,Yes,93349
Collier,Retention of Matt Lucas,Second District Court of Appeal,NA,OverVotes,38
Collier,Retention of Matt Lucas,Second District Court of Appeal,NA,UnderVotes,32525
Collier,Retention of Matt Lucas,Second District Court of Appeal,NOP,No,31957
Collier,Retention of Matt Lucas,Second District Court of Appeal,NOP,Yes,99745
Collier,Retention of Nelly N. Khouzam,Second District Court of Appeal,NA,OverVotes,51
Collier,Retention of Nelly N. Khouzam,Second District Court of Appeal,NA,UnderVotes,31852
Collier,Retention of Nelly N. Khouzam,Second District Court of Appeal,NOP,No,40062
Collier,Retention of Nelly N. Khouzam,Second District Court of Appeal,NOP,Yes,92300
Collier,Retention of Patricia Joan Kelly,Second District Court of Appeal,NA,OverVotes,34
Collier,Retention of Patricia Joan Kelly,Second District Court of Appeal,NA,UnderVotes,30647
Collier,Retention of Patricia Joan Kelly,Second District Court of Appeal,NOP,No,35816
Collier,Retention of Patricia Joan Kelly,Second District Court of Appeal,NOP,Yes,97768
Collier,Retention of Ricky Polston,Justice of the Supreme Court,NA,OverVotes,33
Collier,Retention of Ricky Polston,Justice of the Supreme Court,NA,UnderVotes,29150
Collier,Retention of Ricky Polston,Justice of the Supreme Court,NOP,No,39472
Collier,Retention of Ricky Polston,Justice of the Supreme Court,NOP,Yes,95610
Collier,Retention of Robert Morris,Second District Court of Appeal,NA,OverVotes,45
Collier,Retention of Robert Morris,Second District Court of Appeal,NA,UnderVotes,32693
Collier,Retention of Robert Morris,Second District Court of Appeal,NOP,No,44070
Collier,Retention of Robert Morris,Second District Court of Appeal,NOP,Yes,87457
Collier,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NA,OverVotes,51
Collier,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NA,UnderVotes,32697
Collier,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NOP,No,49731
Collier,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NOP,Yes,81786
Collier,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NA,OverVotes,35
Collier,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NA,UnderVotes,32058
Collier,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NOP,No,32169
Collier,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NOP,Yes,100003
Collier,School Board,1,NA,OverVotes,46
Collier,School Board,1,NA,UnderVotes,25473
Collier,School Board,1,NOP,Jerry D Rutherford,90766
Collier,School Board,1,NOP,Jory Westberry,47980
Collier,School Board,3,NA,OverVotes,71
Collier,School Board,3,NA,UnderVotes,25447
Collier,School Board,3,NOP,Jen Mitchell,57923
Collier,School Board,3,NOP,Kelly Lichter,80824
Collier,School Board,5,NA,OverVotes,19
Collier,School Board,5,NA,UnderVotes,26812
Collier,School Board,5,NOP,Roy M Terry,54257
Collier,School Board,5,NOP,Timothy Donald Moshier,83177
Collier,State House,80,DEM,Mitchel Schlayer,7524
Collier,State House,80,NA,OverVotes,5
Collier,State House,80,NA,UnderVotes,850
Collier,State House,80,REP,Adam Botana,19500
Collier,U.S. House,18,NA,OverVotes,1
Collier,U.S. House,18,NA,UnderVotes,53
Collier,U.S. House,18,NA,WriteinVotes,5
Collier,U.S. House,18,NPA,Keith R. Hayden Jr,135
Collier,U.S. House,18,REP,Scott Franklin,150
Collier,U.S. House,19,DEM,Cindy Banyai,24199
Collier,U.S. House,19,NA,OverVotes,16
Collier,U.S. House,19,NA,UnderVotes,1215
Collier,U.S. House,19,NA,WriteinVotes,73
Collier,U.S. House,19,REP,Byron Donalds,57456
Collier,U.S. House,26,DEM,Christine Alexandria Olivo,22242
Collier,U.S. House,26,NA,OverVotes,7
Collier,U.S. House,26,NA,UnderVotes,1181
Collier,U.S. House,26,REP,Mario Diaz-Balart,57532
Collier,U.S. Senate,NA,DEM,Val Demings,46537
Collier,U.S. Senate,NA,LPF,Dennis Misigoy,387
Collier,U.S. Senate,NA,NA,OverVotes,57
Collier,U.S. Senate,NA,NA,UnderVotes,662
Collier,U.S. Senate,NA,NA,WriteinVotes,61
Collier,U.S. Senate,NA,NPA,Steven B. Grant,340
Collier,U.S. Senate,NA,NPA,Tuan TQ Nguyen,171
Collier,U.S. Senate,NA,REP,Marco Rubio,116050
Collier,Winding Cypress Community Development District,Seat 1,NA,OverVotes,1
Collier,Winding Cypress Community Development District,Seat 1,NA,UnderVotes,97
Collier,Winding Cypress Community Development District,Seat 1,NOP,Alex Joseph Petrovsky,410
Collier,Winding Cypress Community Development District,Seat 1,NOP,James P Verbist,219
Columbia,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NA,OverVotes,11
Columbia,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NA,UnderVotes,1911
Columbia,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NOP,No for Rejection,10156
Columbia,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NOP,Yes for Approval,11691
Columbia,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NA,OverVotes,11
Columbia,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NA,UnderVotes,2020
Columbia,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NOP,No for Rejection,10160
Columbia,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NOP,Yes for Approval,11578
Columbia,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NA,OverVotes,10
Columbia,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NA,UnderVotes,1331
Columbia,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NOP,No for Rejection,9902
Columbia,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NOP,Yes for Approval,12526
Columbia,Attorney General,NA,DEM,Aramis Ayala,4706
Columbia,Attorney General,NA,NA,OverVotes,1
Columbia,Attorney General,NA,NA,UnderVotes,300
Columbia,Attorney General,NA,REP,Ashley Moody,18762
Columbia,Chief Financial Officer,NA,DEM,Adam Hattersley,5002
Columbia,Chief Financial Officer,NA,NA,OverVotes,0
Columbia,Chief Financial Officer,NA,NA,UnderVotes,418
Columbia,Chief Financial Officer,NA,REP,Jimmy Patronis,18349
Columbia,Commissioner of Agriculture,NA,DEM,Naomi Esther Blemur,4974
Columbia,Commissioner of Agriculture,NA,NA,OverVotes,0
Columbia,Commissioner of Agriculture,NA,NA,UnderVotes,396
Columbia,Commissioner of Agriculture,NA,REP,Wilton Simpson,18399
Columbia,Governor,NA,DEM,Crist / Hernandez,4789
Columbia,Governor,NA,LPF,Roos / Rorabaugh,59
Columbia,Governor,NA,NA,OverVotes,0
Columbia,Governor,NA,NA,UnderVotes,42
Columbia,Governor,NA,NPA,Gimenez / Gibson,89
Columbia,Governor,NA,REP,DeSantis / Nuñez,18790
Columbia,Registered Voters,NA,NA,NA,42683
Columbia,Retention of Bo Winokur,First District Court of Appeal,NA,OverVotes,4
Columbia,Retention of Bo Winokur,First District Court of Appeal,NA,UnderVotes,2802
Columbia,Retention of Bo Winokur,First District Court of Appeal,NOP,No,7456
Columbia,Retention of Bo Winokur,First District Court of Appeal,NOP,Yes,13507
Columbia,Retention of Bobby Long,First District Court of Appeal,NA,OverVotes,8
Columbia,Retention of Bobby Long,First District Court of Appeal,NA,UnderVotes,2776
Columbia,Retention of Bobby Long,First District Court of Appeal,NOP,No,6987
Columbia,Retention of Bobby Long,First District Court of Appeal,NOP,Yes,13998
Columbia,Retention of Charles T. Canady,Justice of the Supreme Court,NA,OverVotes,14
Columbia,Retention of Charles T. Canady,Justice of the Supreme Court,NA,UnderVotes,2427
Columbia,Retention of Charles T. Canady,Justice of the Supreme Court,NOP,No,7819
Columbia,Retention of Charles T. Canady,Justice of the Supreme Court,NOP,Yes,13509
Columbia,Retention of Jamie Grosshans,Justice of the Supreme Court,NA,OverVotes,2
Columbia,Retention of Jamie Grosshans,Justice of the Supreme Court,NA,UnderVotes,2642
Columbia,Retention of Jamie Grosshans,Justice of the Supreme Court,NOP,No,7192
Columbia,Retention of Jamie Grosshans,Justice of the Supreme Court,NOP,Yes,13933
Columbia,Retention of John D. Couriel,Justice of the Supreme Court,NA,OverVotes,3
Columbia,Retention of John D. Couriel,Justice of the Supreme Court,NA,UnderVotes,2555
Columbia,Retention of John D. Couriel,Justice of the Supreme Court,NOP,No,7200
Columbia,Retention of John D. Couriel,Justice of the Supreme Court,NOP,Yes,14011
Columbia,Retention of Jorge Labarga,Justice of the Supreme Court,NA,OverVotes,8
Columbia,Retention of Jorge Labarga,Justice of the Supreme Court,NA,UnderVotes,2650
Columbia,Retention of Jorge Labarga,Justice of the Supreme Court,NOP,No,9824
Columbia,Retention of Jorge Labarga,Justice of the Supreme Court,NOP,Yes,11287
Columbia,Retention of Lori S. Rowe,First District Court of Appeal,NA,OverVotes,5
Columbia,Retention of Lori S. Rowe,First District Court of Appeal,NA,UnderVotes,2786
Columbia,Retention of Lori S. Rowe,First District Court of Appeal,NOP,No,7927
Columbia,Retention of Lori S. Rowe,First District Court of Appeal,NOP,Yes,13051
Columbia,Retention of Ricky Polston,Justice of the Supreme Court,NA,OverVotes,6
Columbia,Retention of Ricky Polston,Justice of the Supreme Court,NA,UnderVotes,2674
Columbia,Retention of Ricky Polston,Justice of the Supreme Court,NOP,No,8100
Columbia,Retention of Ricky Polston,Justice of the Supreme Court,NOP,Yes,12989
Columbia,Retention of Ross L. Bilbrey,First District Court of Appeal,NA,OverVotes,4
Columbia,Retention of Ross L. Bilbrey,First District Court of Appeal,NA,UnderVotes,2713
Columbia,Retention of Ross L. Bilbrey,First District Court of Appeal,NOP,No,7484
Columbia,Retention of Ross L. Bilbrey,First District Court of Appeal,NOP,Yes,13568
Columbia,Retention of Susan Kelsey,First District Court of Appeal,NA,OverVotes,6
Columbia,Retention of Susan Kelsey,First District Court of Appeal,NA,UnderVotes,2719
Columbia,Retention of Susan Kelsey,First District Court of Appeal,NOP,No,7108
Columbia,Retention of Susan Kelsey,First District Court of Appeal,NOP,Yes,13936
Columbia,School Board,5,NA,OverVotes,2
Columbia,School Board,5,NA,UnderVotes,237
Columbia,School Board,5,NOP,Elizabeth Porter,2199
Columbia,School Board,5,NOP,Hunter Peeler,2398
Columbia,U.S. House,3,DEM,Danielle Hawk,4961
Columbia,U.S. House,3,NA,OverVotes,3
Columbia,U.S. House,3,NA,UnderVotes,211
Columbia,U.S. House,3,NPA,Linda S. Brooks,262
Columbia,U.S. House,3,REP,Kat Cammack,18332
Columbia,U.S. Senate,NA,DEM,Val Demings,5070
Columbia,U.S. Senate,NA,LPF,Dennis Misigoy,93
Columbia,U.S. Senate,NA,NA,OverVotes,4
Columbia,U.S. Senate,NA,NA,UnderVotes,100
Columbia,U.S. Senate,NA,NA,WriteinVotes,10
Columbia,U.S. Senate,NA,NPA,Steven B. Grant,103
Columbia,U.S. Senate,NA,NPA,Tuan TQ Nguyen,45
Columbia,U.S. Senate,NA,REP,Marco Rubio,18344
Desoto,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NA,OverVotes,2
Desoto,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NA,UnderVotes,854
Desoto,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NOP,No for Rejection,3118
Desoto,Amendment No. 1: Limitation On Assessment of Real Property Used For Residential Purposes,NA,NOP,Yes for Approval,4740
Desoto,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NA,OverVotes,1
Desoto,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NA,UnderVotes,947
Desoto,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NOP,No for Rejection,3275
Desoto,Amendment No. 2: Abolishing the Constitution Revision Commission,NA,NOP,Yes for Approval,4491
Desoto,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NA,OverVotes,1
Desoto,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NA,UnderVotes,682
Desoto,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NOP,No for Rejection,3135
Desoto,Amendment No. 3: Additional Homestead Property Tax Exemption For Specified Critical Public Services Workforce,NA,NOP,Yes for Approval,4896
Desoto,Attorney General,NA,DEM,Aramis Ayala,2006
Desoto,Attorney General,NA,NA,OverVotes,0
Desoto,Attorney General,NA,NA,UnderVotes,134
Desoto,Attorney General,NA,REP,Ashley Moody,6574
Desoto,Chief Financial Officer,NA,DEM,Adam Hattersley,2137
Desoto,Chief Financial Officer,NA,NA,OverVotes,1
Desoto,Chief Financial Officer,NA,NA,UnderVotes,205
Desoto,Chief Financial Officer,NA,REP,Jimmy Patronis,6371
Desoto,Commissioner of Agriculture,NA,DEM,Naomi Esther Blemur,2105
Desoto,Commissioner of Agriculture,NA,NA,OverVotes,0
Desoto,Commissioner of Agriculture,NA,NA,UnderVotes,180
Desoto,Commissioner of Agriculture,NA,REP,Wilton Simpson,6429
Desoto,County Commissioner,1,DEM,Kandis Drymon,2286
Desoto,County Commissioner,1,NA,OverVotes,0
Desoto,County Commissioner,1,NA,UnderVotes,186
Desoto,County Commissioner,1,REP,Jerod Gross,6242
Desoto,Governor,NA,DEM,Crist / Hernandez,2023
Desoto,Governor,NA,LPF,Roos / Rorabaugh,11
Desoto,Governor,NA,NA,OverVotes,0
Desoto,Governor,NA,NA,UnderVotes,13
Desoto,Governor,NA,NPA,Gimenez / Gibson,30
Desoto,Governor,NA,REP,DeSantis / Nuñez,6637
Desoto,Registered Voters,NA,NA,NA,18285
Desoto,Retention of Charles T. Canady,Justice of the Supreme Court,NA,OverVotes,1
Desoto,Retention of Charles T. Canady,Justice of the Supreme Court,NA,UnderVotes,1140
Desoto,Retention of Charles T. Canady,Justice of the Supreme Court,NOP,No,2131
Desoto,Retention of Charles T. Canady,Justice of the Supreme Court,NOP,Yes,5442
Desoto,Retention of Craig C. Villanti,Second District Court of Appeal,NA,OverVotes,0
Desoto,Retention of Craig C. Villanti,Second District Court of Appeal,NA,UnderVotes,1326
Desoto,Retention of Craig C. Villanti,Second District Court of Appeal,NOP,No,2507
Desoto,Retention of Craig C. Villanti,Second District Court of Appeal,NOP,Yes,4881
Desoto,Retention of Jamie Grosshans,Justice of the Supreme Court,NA,OverVotes,0
Desoto,Retention of Jamie Grosshans,Justice of the Supreme Court,NA,UnderVotes,1258
Desoto,Retention of Jamie Grosshans,Justice of the Supreme Court,NOP,No,1986
Desoto,Retention of Jamie Grosshans,Justice of the Supreme Court,NOP,Yes,5470
Desoto,Retention of John D. Couriel,Justice of the Supreme Court,NA,OverVotes,1
Desoto,Retention of John D. Couriel,Justice of the Supreme Court,NA,UnderVotes,1233
Desoto,Retention of John D. Couriel,Justice of the Supreme Court,NOP,No,2034
Desoto,Retention of John D. Couriel,Justice of the Supreme Court,NOP,Yes,5446
Desoto,Retention of John K. Stargel,Second District Court of Appeal,NA,OverVotes,2
Desoto,Retention of John K. Stargel,Second District Court of Appeal,NA,UnderVotes,1325
Desoto,Retention of John K. Stargel,Second District Court of Appeal,NOP,No,2004
Desoto,Retention of John K. Stargel,Second District Court of Appeal,NOP,Yes,5383
Desoto,Retention of Jorge Labarga,Justice of the Supreme Court,NA,OverVotes,1
Desoto,Retention of Jorge Labarga,Justice of the Supreme Court,NA,UnderVotes,1270
Desoto,Retention of Jorge Labarga,Justice of the Supreme Court,NOP,No,2945
Desoto,Retention of Jorge Labarga,Justice of the Supreme Court,NOP,Yes,4498
Desoto,Retention of Matt Lucas,Second District Court of Appeal,NA,OverVotes,0
Desoto,Retention of Matt Lucas,Second District Court of Appeal,NA,UnderVotes,1329
Desoto,Retention of Matt Lucas,Second District Court of Appeal,NOP,No,2046
Desoto,Retention of Matt Lucas,Second District Court of Appeal,NOP,Yes,5339
Desoto,Retention of Nelly N. Khouzam,Second District Court of Appeal,NA,OverVotes,0
Desoto,Retention of Nelly N. Khouzam,Second District Court of Appeal,NA,UnderVotes,1290
Desoto,Retention of Nelly N. Khouzam,Second District Court of Appeal,NOP,No,2316
Desoto,Retention of Nelly N. Khouzam,Second District Court of Appeal,NOP,Yes,5108
Desoto,Retention of Patricia Joan Kelly,Second District Court of Appeal,NA,OverVotes,2
Desoto,Retention of Patricia Joan Kelly,Second District Court of Appeal,NA,UnderVotes,1255
Desoto,Retention of Patricia Joan Kelly,Second District Court of Appeal,NOP,No,2357
Desoto,Retention of Patricia Joan Kelly,Second District Court of Appeal,NOP,Yes,5100
Desoto,Retention of Ricky Polston,Justice of the Supreme Court,NA,OverVotes,1
Desoto,Retention of Ricky Polston,Justice of the Supreme Court,NA,UnderVotes,1304
Desoto,Retention of Ricky Polston,Justice of the Supreme Court,NOP,No,2326
Desoto,Retention of Ricky Polston,Justice of the Supreme Court,NOP,Yes,5083
Desoto,Retention of Robert Morris,Second District Court of Appeal,NA,OverVotes,1
Desoto,Retention of Robert Morris,Second District Court of Appeal,NA,UnderVotes,1328
Desoto,Retention of Robert Morris,Second District Court of Appeal,NOP,No,2563
Desoto,Retention of Robert Morris,Second District Court of Appeal,NOP,Yes,4822
Desoto,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NA,OverVotes,2
Desoto,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NA,UnderVotes,1322
Desoto,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NOP,No,2923
Desoto,Retention of Stevan Travis Northcutt,Second District Court of Appeal,NOP,Yes,4467
Desoto,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NA,OverVotes,0
Desoto,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NA,UnderVotes,1321
Desoto,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NOP,No,1997
Desoto,Retention of Suzanne Y. Labrit,Second District Court of Appeal,NOP,Yes,5396
Desoto,State Senate,27,DEM,Christopher Proia,2008
Desoto,State Senate,27,NA,OverVotes,0
Desoto,State Senate,27,NA,UnderVotes,169
Desoto,State Senate,27,REP,Ben Albritton Jr,6537
Desoto,U.S. House,18,NA,OverVotes,0
Desoto,U.S. House,18,NA,UnderVotes,512
